# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	33981
#@/user_id	iarch
a 	啊	c=183 d=3.59675 t=33981
a a 	啊啊	c=51 d=0.313586 t=33981
a a a 	啊啊啊	c=8 d=0.110803 t=33981
a a a a 	啊啊啊啊	c=3 d=2.96963e-11 t=33981
a a a a a a a a 	啊啊啊啊啊啊啊啊	c=1 d=7.40164e-20 t=33981
a ha 	啊哈	c=1 d=1.26336e-15 t=33981
a la 	啊啦	c=1 d=1.73526e-43 t=33981
a lie 	啊咧	c=1 d=6.33888e-20 t=33981
a wu a wu 	啊嗚啊嗚	c=3 d=8.13133e-44 t=33981
ai 	哎	c=8 d=0.00114769 t=33981
ai 	唉	c=1 d=1.66756e-16 t=33981
ai 	愛	c=6 d=0.00565622 t=33981
ai 	艾	c=0 d=1.80179e-16 t=33981
ai ai 	哎哎	c=4 d=4.11837e-11 t=33981
ai de 	愛的	c=1 d=8.07366e-13 t=33981
ai er 	艾爾	c=0 d=1.59169e-28 t=33981
ai er qi ya 	艾爾琪亞	c=1 d=7.76079e-48 t=33981
ai er wen 	艾爾文	c=12 d=4.02935e-13 t=33981
ai hei hei 	哎嘿嘿	c=1 d=6.05686e-14 t=33981
ai kao 	挨靠	c=1 d=8.38145e-12 t=33981
ai lu qi ya 	艾露琪亞	c=27 d=1.78847e-16 t=33981
ai mi er ai yin 	愛米爾愛因	c=1 d=9.41093e-22 t=33981
ai ni 	愛你	c=0 d=2.68923e-51 t=33981
ai qing 	愛情	c=1 d=2.82528e-13 t=33981
ai qing gu shi 	愛情故事	c=1 d=2.77603e-12 t=33981
ai qing xi ju 	愛情喜劇	c=1 d=0.202909 t=33981
ai shang 	愛上	c=1 d=2.02626e-14 t=33981
ai shang shui 	愛上誰	c=1 d=4.90443e-31 t=33981
ai shen 	愛神	c=2 d=1.29448e-07 t=33981
ai tan 	哀嘆	c=1 d=3.16142e-13 t=33981
ai tan dao 	哀嘆道	c=1 d=3.17727e-12 t=33981
ai ya 	哎呀	c=4 d=1.24671e-06 t=33981
ai ya ai ya 	哎呀哎呀	c=1 d=2.04058e-38 t=33981
ai yin 	愛因	c=4 d=6.03034e-21 t=33981
ai zhe 	愛着	c=1 d=3.15262e-38 t=33981
an 	按	c=3 d=6.20412e-09 t=33981
an ding xia lai 	安定下來	c=1 d=7.19658e-13 t=33981
an jing 	安靜	c=1 d=9.31888e-24 t=33981
