# Rime user dictionary
#@/db_name	pinyin_simp
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	1400
#@/user_id	iarch
a yi 	阿姨	c=0 d=0.000708341 t=1400
ai fu 	爱抚	c=1 d=0.697677 t=1400
an 	案	c=7 d=0.63609 t=1400
an jian 	按键	c=1 d=0.932394 t=1400
an jian 	案件	c=1 d=0.0124629 t=1400
an quan 	安全	c=4 d=0.136367 t=1400
an zhuang 	安装	c=1 d=0.0028088 t=1400
ba 	吧	c=2 d=0.773869 t=1400
ba 	把	c=1 d=0.0109436 t=1400
ba 	爸	c=1 d=0.0227088 t=1400
ba shi 	八十	c=1 d=0.366045 t=1400
ban 	半	c=3 d=0.601216 t=1400
ban ben 	版本	c=1 d=0.0569831 t=1400
ban gong shi 	办公室	c=1 d=0.00843809 t=1400
bei 	被	c=1 d=0.0997588 t=1400
bei gao 	备稿	c=1 d=0.00752142 t=1400
bei guai 	被拐	c=1 d=0.0115047 t=1400
bi 	比	c=1 d=0.0750201 t=1400
bi fa 	笔法	c=1 d=0.0939496 t=1400
bi hui 	笔灰	c=1 d=0.0629761 t=1400
bi jiao 	比较	c=2 d=0.011313 t=1400
bi zhi 	笔直	c=1 d=0.0163259 t=1400
bian min 	便民	c=1 d=0.0330412 t=1400
biao dian 	标点	c=1 d=0.00159641 t=1400
biao ti 	标题	c=2 d=0.332688 t=1400
bing fei 	并非	c=1 d=0.124307 t=1400
bo 	博	c=1 d=0.00499159 t=1400
bo ke 	博客	c=3 d=0.0140432 t=1400
bu 	不	c=5 d=1.50784 t=1400
bu chong 	补充	c=1 d=0.12938 t=1400
bu ding 	补丁	c=1 d=0.0987665 t=1400
bu fen 	部分	c=0 d=0.00020601 t=1400
bu gao 	不搞	c=1 d=0.0219278 t=1400
bu guo 	不过	c=1 d=0.0841628 t=1400
bu he shi 	不合适	c=1 d=0.0182243 t=1400
bu ke neng 	不可能	c=1 d=0.0216013 t=1400
bu liao 	不料	c=1 d=0.0417941 t=1400
bu neng 	不能	c=1 d=0.00278084 t=1400
bu shi 	不是	c=0 d=0.000250366 t=1400
bu shi ying 	不适应	c=1 d=0.00122477 t=1400
bu shi yong 	不是用	c=1 d=0.00251621 t=1400
bu yong 	不用	c=3 d=0.49991 t=1400
bu zai 	不再	c=0 d=0.000151097 t=1400
bu zai shi 	不再是	c=2 d=0.00306005 t=1400
bu zhi 	不知	c=1 d=0.00323088 t=1400
bu zhi dao 	不知道	c=3 d=0.0200805 t=1400
cai 	才	c=2 d=0.0778923 t=1400
cai jian 	裁剪	c=1 d=0.449329 t=1400
cai yong 	采用	c=2 d=0.00434685 t=1400
can kao 	参考	c=2 d=0.170443 t=1400
can zhao 	参照	c=1 d=0.00131358 t=1400
ce guo 	测过	c=1 d=0.00213348 t=1400
ceng 	曾	c=1 d=0.222017 t=1400
cha kan 	查看	c=1 d=0.744532 t=1400
cha ru 	插入	c=2 d=0.00461385 t=1400
chang 	场	c=1 d=0.143704 t=1400
chang 	昌	c=2 d=0.0087608 t=1400
che 	车	c=1 d=0.0254764 t=1400
chen su feng 	陈素封	c=1 d=0.00778933 t=1400
chen zi 	臣子	c=1 d=0.15259 t=1400
cheng 	成	c=1 d=0.0297478 t=1400
cheng du 	程度	c=1 d=0.00472447 t=1400
cheng ke 	乘客	c=2 d=0.0752801 t=1400
cheng shi 	城市	c=1 d=0.0273237 t=1400
cheng wei 	成为	c=1 d=0.436049 t=1400
chi xu 	持续	c=1 d=0.213312 t=1400
chong qi 	重启	c=1 d=0.927743 t=1400
chong xin 	重新	c=2 d=0.221849 t=1400
chong zhuang 	重装	c=3 d=0.00379299 t=1400
chu 	出	c=3 d=0.686331 t=1400
chu gao 	初稿	c=1 d=0.0029676 t=1400
chu le 	除了	c=1 d=0.0450492 t=1400
chu se 	出色	c=1 d=0.00379147 t=1400
chu shu 	出书	c=1 d=0.00479587 t=1400
chuan 	串	c=1 d=0.26054 t=1400
chuan 	传	c=1 d=0.011109 t=1400
chuan 	穿	c=1 d=0.0495388 t=1400
chuan da 	传达	c=1 d=0.00914087 t=1400
chuan zhe 	穿着	c=1 d=0.0281558 t=1400
chuang kou 	窗口	c=3 d=2.48573 t=1400
chun shu 	纯熟	c=1 d=0.00562801 t=1400
chun yun 	春运	c=1 d=0.0117959 t=1400
ci 	词	c=2 d=0.900436 t=1400
ci chu 	此处	c=1 d=0.00242967 t=1400
ci ku 	词库	c=2 d=1.51547 t=1400
ci shu 	此书	c=5 d=0.459956 t=1400
cun chu 	存储	c=1 d=0.00400585 t=1400
da 	达	c=1 d=0.319819 t=1400
da kai 	打开	c=5 d=3.91773 t=1400
da ming 	大明	c=8 d=1.31125 t=1400
da ming jie 	大明劫	c=1 d=0.130028 t=1400
da pei 	搭配	c=1 d=0.00185476 t=1400
da quan 	大全	c=1 d=0.00708341 t=1400
da suan 	打算	c=2 d=1.08483 t=1400
da zi 	打字	c=1 d=0.802519 t=1400
dai 	带	c=2 d=0.63138 t=1400
dai dai 	呆呆	c=1 d=0.603506 t=1400
dai dong 	带动	c=0 d=0.000166989 t=1400
dan 	但	c=2 d=0.0151561 t=1400
dan fan 	单反	c=2 d=0.187248 t=1400
dan kao 	单靠	c=1 d=0.160413 t=1400
dang 	当	c=0 d=0.000196945 t=1400
dang di 	当地	c=1 d=0.0430669 t=1400
dang du chang 	当赌场	c=1 d=0.00197932 t=1400
dang qian 	当前	c=1 d=0.839457 t=1400
dang ran 	当然	c=1 d=0.110251 t=1400
dang zhong 	当中	c=1 d=0.0968106 t=1400
dao 	倒	c=1 d=0.66365 t=1400
dao 	到	c=8 d=2.13295 t=1400
dao 	稻	c=1 d=0.136014 t=1400
dao ru 	导入	c=2 d=0.92141 t=1400
dao shi 	到时	c=1 d=0.0188734 t=1400
dao shi hou 	到时候	c=1 d=0.0103579 t=1400
de 	得	c=2 d=0.118765 t=1400
de 	的	c=49 d=5.42887 t=1400
den 	扽	c=2 d=0.0274687 t=1400
den an 	扽按	c=1 d=0.00218749 t=1400
den den jing 	扽扽经	c=2 d=0.00445256 t=1400
den jiang 	扽将	c=3 d=0.0295391 t=1400
den ling jian 	扽零件	c=1 d=0.00220948 t=1400
deng 	等	c=1 d=0.0132999 t=1400
deng lu 	登录	c=1 d=0.970446 t=1400
di fang 	地方	c=1 d=0.412714 t=1400
di san ji 	第三集	c=1 d=0.481909 t=1400
dian 	点	c=5 d=0.626269 t=1400
dian ban 	点半	c=1 d=0.307279 t=1400
dian hou 	点后	c=1 d=0.0237541 t=1400
dian hua 	电话	c=4 d=0.825081 t=1400
dian shi 	电视	c=1 d=0.529935 t=1400
dian shi ju 	电视剧	c=1 d=0.116484 t=1400
dian ti 	电梯	c=1 d=0.0146253 t=1400
dian ying 	电影	c=3 d=0.772697 t=1400
diao 	掉	c=1 d=0.440431 t=1400
ding qi 	定期	c=1 d=0.00447164 t=1400
ding yi 	定义	c=1 d=0.00210172 t=1400
dong 	动	c=2 d=0.0458748 t=1400
dong dong 	东东	c=1 d=0.0550232 t=1400
dong zuo 	动作	c=1 d=0.891366 t=1400
dou 	斗	c=1 d=0.0401553 t=1400
dou 	都	c=6 d=0.562702 t=1400
dou shi 	都是	c=2 d=0.0869596 t=1400
dou yin 	抖音	c=1 d=0.00298248 t=1400
du 	堵	c=1 d=0.414783 t=1400
du chang 	赌场	c=0 d=0.000196945 t=1400
du shu 	读书	c=1 d=0.00408677 t=1400
du wan 	读完	c=2 d=0.139967 t=1400
du zhi 	读至	c=1 d=0.0792617 t=1400
duan duan xu xu 	断断续续	c=1 d=0.0605067 t=1400
dui 	队	c=3 d=0.496853 t=1400
dui qi 	对齐	c=1 d=0.951229 t=1400
dui zhang 	队长	c=1 d=0.0478349 t=1400
duo da 	多大	c=2 d=0.0395706 t=1400
duo shao 	多少	c=2 d=0.418546 t=1400
en 	嗯	c=2 d=0.772548 t=1400
en 	恩	c=1 d=0.00111936 t=1400
er 	而	c=1 d=0.0875982 t=1400
er shi 	而是	c=2 d=0.00307539 t=1400
fa 	法	c=1 d=0.479932 t=1400
fa bu 	发布	c=2 d=0.00901407 t=1400
fa song 	发送	c=2 d=0.869555 t=1400
fa xian 	发现	c=3 d=0.0796585 t=1400
fan bian 	翻遍	c=1 d=0.0702989 t=1400
fan ye 	翻页	c=12 d=5.66508 t=1400
fang bian 	方便	c=3 d=0.0540327 t=1400
fang da 	放大	c=1 d=0.81873 t=1400
fei 	非	c=2 d=0.79836 t=1400
fei chang 	非常	c=1 d=0.00198924 t=1400
fei xu gou 	非虚构	c=1 d=0.095369 t=1400
fen 	分	c=2 d=0.575088 t=1400
fen lei 	分类	c=1 d=0.172045 t=1400
